File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H19005761.OSCHP	3.0	Gain	17	q12	362.803	26	7	ACACA, C17orf78, TADA2A, DUSP14, SYNRG, DDX52, MIR378J	5	ACACA (200350), TADA2A (602276), DUSP14 (606618), SYNRG (607291), DDX52 (612500)	CytoRegions Not Set				false	arr[hg19] 17q12(35,674,739-36,037,542)x3	chr17:35674739-36037542
H19005761.OSCHP	3.0	Gain	8	q24.3	268.996	26	9	ADGRB1, ARC, LOC101928087, JRK, PSCA, LY6K, LOC100288181, THEM6, SLURP1	6	ADGRB1 (602682), ARC (612461), JRK (603210), PSCA (602470), LY6K (615093), SLURP1 (606119)	CytoRegions Not Set				false	arr[hg19] 8q24.3(143,560,503-143,829,499)x3	chr8:143560503-143829499
H19005761.OSCHP	3.0	Gain	1	p31.3	303.871	20	2	AK4, DNAJC6	2	AK4 (103030), DNAJC6 (608375)	CytoRegions Not Set				false	arr[hg19] 1p31.3(65,581,486-65,885,357)x3	chr1:65581486-65885357
H19005761.OSCHP	3.0	Gain	19	q12	42.584	18	1	CCNE1	1	CCNE1 (123837)	CytoRegions Not Set				false	arr[hg19] 19q12(30,269,998-30,312,582)x3	chr19:30269998-30312582
H19005761.OSCHP	3.0	Gain	5	p14.1	2767.688	193	2	CDH9, PURPL	1	CDH9 (609974)	CytoRegions Not Set				false	arr[hg19] 5p14.1(25,389,591-28,157,279)x3	chr5:25389591-28157279
H19005761.OSCHP	3.0	Gain	17	q12	176.698	22	4	CDK12, NEUROD2, PPP1R1B, STARD3	4	CDK12 (615514), NEUROD2 (601725), PPP1R1B (604399), STARD3 (607048)	CytoRegions Not Set				false	arr[hg19] 17q12(37,630,924-37,807,622)x3	chr17:37630924-37807622
H19005761.OSCHP	3.0	Gain	17	q21.31	315.802	22	11	DBF4B, ADAM11, GJC1, HIGD1B, EFTUD2, CCDC103, FAM187A, GFAP, KIF18B, MIR6783, C1QL1	8	DBF4B (611661), ADAM11 (155120), GJC1 (608655), EFTUD2 (603892), CCDC103 (614677), GFAP (137780), KIF18B (614570), C1QL1 (611586)	CytoRegions Not Set				false	arr[hg19] 17q21.31(42,775,216-43,091,018)x3	chr17:42775216-43091018
H19005761.OSCHP	3.0	Gain	15	q26.1	48.994	19	2	FURIN, FES	2	FURIN (136950), FES (190030)	CytoRegions Not Set				false	arr[hg19] 15q26.1(91,386,008-91,435,002)x3	chr15:91386008-91435002
H19005761.OSCHP	3.0	Gain	20	q13.33	377.943	26	2	LINC01718, CDH4	1	CDH4 (603006)	CytoRegions Not Set				false	arr[hg19] 20q13.33(59,535,189-59,913,132)x3	chr20:59535189-59913132
H19005761.OSCHP	3.0	Gain	5	p14.1	1134.192	75	4	LSP1P3, LOC101929645, LINC02109, LINC02064	0		CytoRegions Not Set				false	arr[hg19] 5p14.1p13.3(28,478,732-29,612,924)x3	chr5:28478732-29612924
H19005761.OSCHP	3.0	Gain	11	q25	262.212	18	1	NTM	1	NTM (607938)	CytoRegions Not Set				false	arr[hg19] 11q25(131,686,213-131,948,425)x3	chr11:131686213-131948425
H19005761.OSCHP	3.0	Gain	3	q11.2	321.374	23	8	OR5AC2, OR5H1, OR5H14, OR5H15, OR5H6, OR5H2, OR5K4, OR5K3	0		CytoRegions Not Set				false	arr[hg19] 3q11.2(97,799,623-98,120,997)x3	chr3:97799623-98120997
H19005761.OSCHP	3.0	Gain	19	q13.42	98.927	18	8	OSCAR, NDUFA3, TFPT, PRPF31, CNOT3, LENG1, TMC4, MBOAT7	7	OSCAR (606862), NDUFA3 (603832), TFPT (609519), PRPF31 (606419), CNOT3 (604910), TMC4 (617181), MBOAT7 (606048)	CytoRegions Not Set				false	arr[hg19] 19q13.42(54,587,395-54,686,322)x3	chr19:54587395-54686322
H19005761.OSCHP	3.0	Gain	5	p15.33	2945.943	236	47	PLEKHG4B, LRRC14B, CCDC127, SDHA, HRAT5, PDCD6, AHRR, EXOC3-AS1, EXOC3, PP7080, SLC9A3, SLC9A3-AS1, MIR4456, LOC100996325, CEP72, TPPP, ZDHHC11B, ZDHHC11, BRD9, TRIP13, LOC100506688, NKD2, SLC12A7, MIR4635, CTD-3080P12.3, SLC6A19, SLC6A18, TERT, MIR4457, CLPTM1L, LINC01511, SLC6A3, LPCAT1, MIR6075, SDHAP3, LOC728613, MIR4277, MRPL36, NDUFS6, LINC02116, IRX4, CTD-2194D22.4, LOC100506858, LSINCT5, IRX2, C5orf38, LOC105374620	22	SDHA (600857), PDCD6 (601057), AHRR (606517), EXOC3 (608186), SLC9A3 (182307), CEP72 (616475), TPPP (608773), TRIP13 (604507), NKD2 (607852), SLC12A7 (604879), SLC6A19 (608893), SLC6A18 (610300), TERT (187270), CLPTM1L (612585), SLC6A3 (126455), LPCAT1 (610472), MRPL36 (611842), NDUFS6 (603848), IRX4 (606199), LSINCT5 (615764), IRX2 (606198), C5orf38 (610522)	CytoRegions Not Set				false	arr[hg19] 5p15.33(38,138-2,984,081)x3	chr5:38138-2984081
H19005761.OSCHP	3.0	Gain	2	q14.2	425.665	28	5	PTPN4, EPB41L5, TMEM185B, RALB, INHBB	4	PTPN4 (176878), EPB41L5 (611730), RALB (179551), INHBB (147390)	CytoRegions Not Set				false	arr[hg19] 2q14.2(120,699,741-121,125,406)x3	chr2:120699741-121125406
H19005761.OSCHP	3.0	Gain	16	q24.3	38.701	18	3	TCF25, MC1R, TUBB3	3	TCF25 (612326), MC1R (155555), TUBB3 (602661)	CytoRegions Not Set				false	arr[hg19] 16q24.3(89,975,435-90,014,136)x3	chr16:89975435-90014136
H19005761.OSCHP	3.0	Gain	20	q13.12	277.576	19	17	WFDC11, WFDC10B, WFDC13, MIR3617, SPINT4, WFDC3, DNTTIP1, UBE2C, TNNC2, SNX21, ACOT8, ZSWIM3, ZSWIM1, SPATA25, NEURL2, CTSA, PLTP	7	DNTTIP1 (611388), UBE2C (605574), TNNC2 (191039), ACOT8 (608123), NEURL2 (608597), CTSA (613111), PLTP (172425)	CytoRegions Not Set				false	arr[hg19] 20q13.12(44,277,110-44,554,686)x3	chr20:44277110-44554686
H19005761.OSCHP	1.5	Loss	21	q11.2	5430.684	312	35	ANKRD30BP2, MIR3156-3, LINC01674, POTED, MIR3118-1, LOC110091777, MIR8069-1, MIR8069-2, CYP4F29P, LOC110091776, ANKRD20A11P, LIPI, RBM11, ABCC13, HSPA13, SAMSN1, SAMSN1-AS1, LOC388813, LINC02246, NRIP1, USP25, MIR99AHG, SNORD74B, MIR99A, MIRLET7C, MIR125B2, LINC01549, CXADR, BTG3, BTG3-AS1, C21orf91-OT1, C21orf91, CHODL-AS1, CHODL, TMPRSS15	16	POTED (607549), LIPI (609252), RBM11 (617937), ABCC13 (608835), HSPA13 (601100), SAMSN1 (607978), NRIP1 (602490), USP25 (604736), MIR99AHG (615964), MIR99A (614509), MIRLET7C (612144), MIR125B2 (610105), CXADR (602621), BTG3 (605674), CHODL (607247), TMPRSS15 (606635)	CytoRegions Not Set				true	arr[hg19] 21q11.2q21.1(14,344,536-19,775,220)x1-2	chr21:14344536-19775220
