File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H19006144.OSCHP	10.0	Gain	17	p11.2	1922.666	161	32	EPN2, EPN2-IT1, EPN2-AS1, B9D1, MIR1180, MAPK7, MFAP4, RNF112, SLC47A1, SNORA59B, SNORA59A, ALDH3A2, SLC47A2, ALDH3A1, ULK2, AKAP10, SPECC1, CCDC144CP, USP32P3, FAM106B, NOS2P3, LGALS9B, KRT16P3, CDRT15L2, LINC02088, LOC100287072, CCDC144NL, CCDC144NL-AS1, LOC339260, USP22, LINC01563, DHRS7B	14	EPN2 (607263), B9D1 (614144), MAPK7 (602521), MFAP4 (600596), RNF112 (601237), SLC47A1 (609832), ALDH3A2 (609523), SLC47A2 (609833), ALDH3A1 (100660), ULK2 (608650), AKAP10 (604694), SPECC1 (608793), USP22 (612116), DHRS7B (616160)	CytoRegions Not Set				false	arr[hg19] 17p11.2(19,144,054-21,066,720)x10	chr17:19144054-21066720
H19006144.OSCHP	8.0	Gain	21	q22.3	1033.748	65	25	CBS, CBSL, U2AF1, U2AF1L5, FRGCA, LOC106780825, CRYAA, CRYAA2, LINC00322, LINC01679, SIK1B, SIK1, LINC00319, LINC01669, LINC00313, HSF2BP, H2BFS, MIR6070, RRP1B, PDXK, CSTB, RRP1, AATBC, AGPAT3, TRAPPC10	11	CBS (613381), U2AF1 (191317), CRYAA (123580), SIK1 (605705), HSF2BP (604554), RRP1B (610654), PDXK (179020), CSTB (601145), RRP1 (610653), AGPAT3 (614794), TRAPPC10 (602103)	CytoRegions Not Set				false	arr[hg19] 21q22.3(44,473,445-45,507,193)x8	chr21:44473445-45507193
H19006144.OSCHP	6.0	Gain	21	q22.3	1257.344	84	24	PRDM15, C2CD2, SNORA91, ZBTB21, ZNF295-AS1, UMODL1, UMODL1-AS1, ABCG1, TFF3, TFF2, TFF1, TMPRSS3, UBASH3A, RSPH1, LOC101930094, SLC37A1, LINC01671, PDE9A, LINC01668, WDR4, NDUFV3, ERVH48-1, MIR5692B, PKNOX1	16	PRDM15 (617692), C2CD2 (617581), ZBTB21 (616485), UMODL1 (613859), ABCG1 (603076), TFF3 (600633), TFF2 (182590), TFF1 (113710), TMPRSS3 (605511), UBASH3A (605736), RSPH1 (609314), SLC37A1 (608094), PDE9A (602973), WDR4 (605924), NDUFV3 (602184), PKNOX1 (602100)	CytoRegions Not Set				false	arr[hg19] 21q22.3(43,195,678-44,453,022)x6	chr21:43195678-44453022
H19006144.OSCHP	6.0	Gain	21	q22.3	2564.967	195	76	PWP2, GATD3A, GATD3B, LINC01678, ICOSLG, LOC102723996, DNMT3L, LOC105372833, AIRE, PFKL, C21orf2, TRPM2, TRPM2-AS, LRRC3-DT, LRRC3, LINC02575, TSPEAR, TSPEAR-AS1, TSPEAR-AS2, KRTAP10-1, KRTAP10-2, KRTAP10-3, KRTAP10-4, KRTAP10-5, KRTAP10-6, KRTAP10-7, KRTAP10-8, KRTAP10-9, KRTAP10-10, KRTAP10-11, KRTAP12-4, KRTAP12-3, KRTAP12-2, KRTAP12-1, KRTAP10-12, UBE2G2, LINC01424, SUMO3, PTTG1IP, ITGB2, ITGB2-AS1, LINC01547, FAM207A, LINC00163, PICSAR, SSR4P1, ADARB1, LINC00334, POFUT2, LOC642852, LINC00316, COL18A1, COL18A1-AS2, COL18A1-AS1, MIR6815, SLC19A1, LINC01694, PCBP3, LOC100129027, LOC101928796, COL6A1, COL6A2, FTCD, FTCD-AS1, SPATC1L, LSS, SNORD159, MCM3AP-AS1, MCM3AP, YBEY, C21orf58, PCNT, DIP2A, DIP2A-IT1, S100B, PRMT2	32	PWP2 (601475), GATD3A (601659), ICOSLG (605717), DNMT3L (606588), AIRE (607358), PFKL (171860), C21orf2 (603191), TRPM2 (603749), LRRC3 (617620), TSPEAR (612920), UBE2G2 (603124), SUMO3 (602231), PTTG1IP (603784), ITGB2 (600065), LINC00163 (610259), PICSAR (617191), ADARB1 (601218), POFUT2 (610249), COL18A1 (120328), SLC19A1 (600424), PCBP3 (608502), COL6A1 (120220), COL6A2 (120240), FTCD (606806), SPATC1L (612412), LSS (600909), MCM3AP (603294), YBEY (617461), PCNT (605925), DIP2A (607711), S100B (176990), PRMT2 (601961)	CytoRegions Not Set				false	arr[hg19] 21q22.3(45,532,643-48,097,610)x6	chr21:45532643-48097610
H19006144.OSCHP	5.0	Gain	20	q12	4262.342	300	61	LPIN3, EMILIN3, CHD6, PTPRT, LOC101927159, LOC101927138, SRSF6, L3MBTL1, SGK2, IFT52, MYBL2, GTSF1L, LINC01728, TOX2, JPH2, OSER1, OSER1-DT, GDAP1L1, FITM2, R3HDML, HNF4A, HNF4A-AS1, MIR3646, LINC01430, LINC01620, TTPAL, SERINC3, PKIG, ADA, LINC01260, KCNK15-AS1, WISP2, KCNK15, RIMS4, YWHAB, PABPC1L, TOMM34, STK4-AS1, STK4, KCNS1, WFDC5, WFDC12, PI3, SEMG1, SEMG2, SLPI, MATN4, RBPJL, SDC4, SYS1, SYS1-DBNDD2, TP53TG5, DBNDD2, PIGT, MIR6812, WFDC2, SPINT3, WFDC6, EPPIN-WFDC6, EPPIN, WFDC8	39	LPIN3 (605520), EMILIN3 (608929), CHD6 (616114), PTPRT (608712), SRSF6 (601944), L3MBTL1 (608802), SGK2 (607589), IFT52 (617094), MYBL2 (601415), TOX2 (611163), JPH2 (605267), FITM2 (612029), HNF4A (600281), SERINC3 (607165), PKIG (604932), ADA (608958), WISP2 (603399), KCNK15 (607368), RIMS4 (611601), YWHAB (601289), TOMM34 (616049), STK4 (604965), KCNS1 (602905), WFDC5 (605161), WFDC12 (609872), PI3 (182257), SEMG1 (182140), SEMG2 (182141), SLPI (107285), MATN4 (603897), RBPJL (616104), SDC4 (600017), SYS1 (612979), TP53TG5 (617316), DBNDD2 (611453), PIGT (610272), WFDC2 (617548), SPINT3 (613941), EPPIN (609031)	CytoRegions Not Set				false	arr[hg19] 20q12q13.12(39,967,950-44,230,292)x5	chr20:39967950-44230292
H19006144.OSCHP	5.0	Gain	17	q21.33	2137.319	158	13	SPAG9, NME1-NME2, NME1, NME2, MBTD1, UTP18, LINC02071, LINC02072, LINC02073, CA10, LINC01982, LINC02089, C17orf112	5	SPAG9 (605430), NME1 (156490), NME2 (156491), UTP18 (612816), CA10 (604642)	CytoRegions Not Set				false	arr[hg19] 17q21.33q22(48,947,224-51,084,543)x5	chr17:48947224-51084543
H19006144.OSCHP	4.0	Gain	19	q13.2	1194.615	84	41	ACP7, PAK4, NCCRP1, SYCN, IFNL3, IFNL4, IFNL2, IFNL1, LRFN1, GMFG, SAMD4B, PAF1, MED29, ZFP36, MIR4530, PLEKHG2, RPS16, SUPT5H, SNORD175, TIMM50, DLL3, SELENOV, EID2B, EID2, LGALS13, LOC100129935, LGALS16, LGALS17A, LGALS14, CLC, LEUTX, DYRK1B, MIR6719, FBL, FCGBP, PSMC4, ZNF546, ZNF780B, ZNF780A, MAP3K10, TTC9B	27	ACP7 (610490), PAK4 (605451), NCCRP1 (615901), IFNL3 (607402), IFNL4 (615090), IFNL2 (607401), IFNL1 (607403), LRFN1 (612807), GMFG (604104), PAF1 (610506), MED29 (612914), ZFP36 (190700), PLEKHG2 (611893), RPS16 (603675), SUPT5H (602102), TIMM50 (607381), DLL3 (602768), SELENOV (607919), EID2 (609773), LGALS13 (608717), LGALS14 (607260), CLC (153310), DYRK1B (604556), FBL (134795), FCGBP (617553), PSMC4 (602707), MAP3K10 (600137)	CytoRegions Not Set				false	arr[hg19] 19q13.2(39,527,507-40,722,122)x4	chr19:39527507-40722122
H19006144.OSCHP	4.0	Gain	19	q13.2	2432.001	369	82	AKT2, MIR641, C19orf47, PLD3, MIR6796, HIPK4, PRX, SERTAD1, SERTAD3, BLVRB, SPTBN4, SHKBP1, LTBP4, NUMBL, COQ8B, ITPKC, C19orf54, SNRPA, MIA, MIA-RAB4B, RAB4B, RAB4B-EGLN2, EGLN2, CYP2T1P, CYP2A6, CYP2A7, CYP2G1P, CYP2B7P, CYP2B6, CYP2A13, CYP2F1, CYP2S1, AXL, HNRNPUL1, CCDC97, TGFB1, B9D2, TMEM91, EXOSC5, BCKDHA, B3GNT8, DMAC2, ERICH4, PCAT19, LINC01480, CEACAM21, CEACAM4, CEACAM7, CEACAM5, CEACAM6, CEACAM3, LYPD4, DMRTC2, RPS19, MIR6797, CD79A, ARHGEF1, LOC100505585, RABAC1, ATP1A3, GRIK5, ZNF574, POU2F2, LOC100505622, MIR4323, DEDD2, ZNF526, GSK3A, ERF, CIC, PAFAH1B3, PRR19, TMEM145, MEGF8, MIR8077, CNFN, LOC101930071, LIPE-AS1, LIPE, CXCL17, CEACAM1, CEACAM8	55	AKT2 (164731), PLD3 (615698), HIPK4 (611712), PRX (605725), SERTAD1 (617850), SERTAD3 (612125), BLVRB (600941), SPTBN4 (606214), SHKBP1 (617322), LTBP4 (604710), NUMBL (604018), COQ8B (615567), ITPKC (606476), SNRPA (182285), MIA (601340), RAB4B (612945), EGLN2 (606424), CYP2A6 (122720), CYP2A7 (608054), CYP2G1P (601133), CYP2B6 (123930), CYP2A13 (608055), CYP2F1 (124070), CYP2S1 (611529), AXL (109135), HNRNPUL1 (605800), TGFB1 (190180), B9D2 (611951), EXOSC5 (606492), BCKDHA (608348), B3GNT8 (615357), DMAC2 (617262), CEACAM5 (114890), CEACAM6 (163980), CEACAM3 (609142), DMRTC2 (614806), RPS19 (603474), CD79A (112205), ARHGEF1 (601855), RABAC1 (604925), ATP1A3 (182350), GRIK5 (600283), POU2F2 (164176), DEDD2 (617078), ZNF526 (614387), GSK3A (606784), ERF (611888), CIC (612082), PAFAH1B3 (603074), MEGF8 (604267), CNFN (611764), LIPE (151750), CXCL17 (611387), CEACAM1 (109770), CEACAM8 (615747)	CytoRegions Not Set				false	arr[hg19] 19q13.2(40,763,769-43,195,770)x4	chr19:40763769-43195770
H19006144.OSCHP	4.0	Gain	20	q11.23	3897.791	289	40	BLCAP, NNAT, LINC00489, LOC100287792, CTNNBL1, VSTM2L, TTI1, RPRD1B, TGM2, KIAA1755, LOC149684, BPI, LBP, SNHG17, SNORA71B, SNORA71A, SNORA71C, SNORA71D, SNHG11, SNORA71E, SNORA60, RALGAPB, MIR548O2, ADIG, ARHGAP40, SLC32A1, ACTR5, PPP1R16B, FAM83D, DHX35, LINC01734, LINC01370, MAFB, SNORD154, LOC100128988, TOP1, PLCG1-AS1, PLCG1, MIR6871, ZHX3	17	BLCAP (613110), NNAT (603106), CTNNBL1 (611537), VSTM2L (616537), TTI1 (614425), RPRD1B (614694), TGM2 (190196), BPI (109195), LBP (151990), ADIG (611396), SLC32A1 (616440), PPP1R16B (613275), LINC01370 (617038), MAFB (608968), TOP1 (126420), PLCG1 (172420), ZHX3 (609598)	CytoRegions Not Set				false	arr[hg19] 20q11.23q12(36,051,594-39,949,385)x4	chr20:36051594-39949385
H19006144.OSCHP	4.0	Gain	9	p24.3	3155.883	212	14	C9orf66, DOCK8, KANK1, DMRT1, DMRT3, LINC01230, DMRT2, SMARCA2, VLDLR-AS1, VLDLR, KCNV2, PUM3, LINC01231, RFX3	10	DOCK8 (611432), KANK1 (607704), DMRT1 (602424), DMRT3 (614754), DMRT2 (604935), SMARCA2 (600014), VLDLR (192977), KCNV2 (607604), PUM3 (609960), RFX3 (601337)	CytoRegions Not Set				false	arr[hg19] 9p24.3p24.2(204,737-3,360,620)x4	chr9:204737-3360620
